TriggerTimestamp [UTC Timestamp]	Carry [m]	BallSpeed [m/s]	LaunchDirection [deg]	LaunchAngle [deg]	SpinAxis [deg]	SpinRate [rpm]	MaxHeight [m]
2025-11-23T13:55:45.562607885Z	231,49	73,81	6,48	6,48	-10,46	3001,06	21,54
2025-11-23T13:56:17.733195258Z	239,18	77,19	4,49	6,07	-12,28	3194,55	23,34
2025-11-23T13:56:58.824687885Z	256,7	78,25	-1,02	9,37	3,02	2754,65	32,21
2025-11-23T14:06:30.814009138Z	240,44	72,1	2,38	12,23	-5,36	2551,07	31,82
2025-11-23T14:07:13.575407885Z	225,59	75,71	0,6	7,01	-9,79	2582,97	19,18
2025-11-23T14:07:54.782009138Z	252,37	81,11	1,6	8,31	-1,99	3937,12	38,98
2025-11-23T14:17:43.265202969Z	248,9	74,7	5,17	14,56	-6,59	2466,16	38,79
2025-11-23T14:18:22.426126343Z	237,58	72,53	0,89	8,22	3,83	2882,72	24,03
2025-11-23T14:19:02.982670343Z	231,59	73,02	-1,14	8,22	-6,12	3477,62	25,35
2025-11-23T14:28:27.205646343Z	242,69	75,71	5,35	10,74	-6,21	3485,26	38,27
2025-11-23T14:29:03.437838343Z	237,66	73,01	2,94	10,99	-0,22	3317,21	37,03
2025-11-23T14:29:41.681647885Z	237,96	73,53	1,38	10,54	5	3519,4	37,82
2025-11-23T14:39:48.200584174Z	224,16	68,57	3,17	12,75	7,21	3466,23	34,92
2025-11-23T14:40:32.503852801Z	253,19	78,68	-2,31	10,97	-12,72	2167,95	27,4
2025-11-23T14:41:16.283016174Z	254,92	75,26	1,81	10,94	-2,23	2416,31	29,11
2025-11-23T14:50:54.933335596Z	226,67	68,96	1,29	11,33	-4,64	3115,27	30,93
2025-11-23T14:51:31.445652511Z	255,09	75,84	0,16	12,23	-8,86	2702,25	36,08
2025-11-23T14:52:23.463133764Z	244,4	73,24	0,19	12,54	-3,27	2079,71	28,75
2025-11-23T15:01:40.519078632Z	246,36	74,92	2,66	10,86	-2,21	3527,22	36,2
2025-11-23T15:02:17.428854054Z	242,74	73,46	1,03	12,99	2,03	3153,78	39,85
2025-11-23T15:03:03.261618969Z	253,14	76,06	5,04	9,93	-9,59	2645,1	29,67
2025-11-23T15:12:39.906019547Z	256,04	77,78	0,42	9,26	-4,31	2456,69	26,98
2025-11-23T15:13:21.853874969Z	239,61	75,06	1,96	10,56	-8,08	3731,55	38,53
2025-11-23T15:14:05.921922391Z	264,7	76,51	-3,15	12,61	-3,07	2251,92	36,37
2025-11-23T15:23:28.117987547Z	239,63	74,68	-0,82	8,87	-9,02	3182,29	30,8
2025-11-23T15:24:05.567020801Z	246,95	78,56	2,43	12,05	-19,22	1989,2	29,66
2025-11-23T15:24:46.763473427Z	225,7	73,34	-0,22	6,89	-5,24	2853,22	20,05
2025-11-23T15:34:39.492890680Z	244,68	72,26	0,07	12,78	-8,43	2774,23	33,65
2025-11-23T15:35:14.808663596Z	246,6	73,31	2,88	10,76	-7,19	2457,87	28,31
2025-11-23T15:35:53.483851258Z	240,98	74	4,96	11,43	-10,07	3311,96	37,73
2025-11-23T15:45:45.551673138Z	250,06	74,74	-0,71	10,76	-0,04	2031,33	26,76
2025-11-23T15:46:28.388421475Z	263,05	75,93	-5,01	14,09	3,75	2640,17	40,9
2025-11-23T15:47:08.519980801Z	242,39	74,07	-1,95	8,48	4,17	3710,29	30,8
2025-11-23T15:56:25.678106680Z	252,14	74,49	-3,3	12,7	1,96	3010,52	38,77
2025-11-23T15:57:03.988506680Z	255,68	81,59	0,83	6,59	-8,72	2323,85	23,46
2025-11-23T15:57:38.258988801Z	241,96	72,35	3,91	12,66	-11,07	2382,15	32,54
2025-11-23T16:07:33.125975596Z	236,73	73,72	4,81	12,15	-1,53	3530,28	42,24
2025-11-23T16:08:30.549244222Z	252,31	77,98	2,86	11,27	-2,42	3428,27	42,99
2025-11-23T16:09:08.821969427Z	250,88	77,48	3,48	9,82	-8,56	3057,18	33,78
2025-11-23T16:16:33.004765764Z	225,84	71,62	-0,99	6,82	4,83	3679,35	26,66
2025-11-23T16:17:24.891150343Z	252	73,35	2,85	15,09	3,27	2128,03	39,77
2025-11-23T16:18:04.654307547Z	235,07	76,73	-0,82	7,03	1,03	4067,65	35,02
2025-11-23T16:25:51.340527885Z	255,81	78,12	-2,55	10,47	8,37	2475,07	35,87
2025-11-23T16:27:01.453113138Z	244,28	74,64	1,65	8,95	2,37	3380,27	30,98
2025-11-23T16:27:46.338318343Z	209,39	79,44	0,02	6,21	-25	2123,11	12,03
2025-11-23T16:37:10.428808174Z	251	78,17	5,36	7,6	-6,61	3180,92	31
2025-11-23T16:38:07.207858969Z	249,03	77,73	2,12	12,5	-4,29	3341,38	45,41
2025-11-23T16:38:36.593044511Z	260,9	77,77	0,32	12,76	1,26	2493,34	38,48
2025-11-23T16:45:46.368099933Z	227,1	72,54	0,77	4,46	-3,7	2991,32	18,17
2025-11-23T16:46:33.378501090Z	240,31	73,01	2,19	11,79	-11,79	2738,58	30,17
2025-11-23T16:47:22.771287596Z	209,34	72,71	-1,15	3,37	6,21	2291,72	10,75
2025-11-23T16:56:45.967045090Z	255,23	78,41	0,86	10,01	-2,82	2727,12	33,33
2025-11-23T16:57:40.968310054Z	233,31	73,15	3,36	7,04	-3,12	2835,96	21,98
2025-11-23T16:58:30.036762680Z	257,01	78,19	-2,76	7,21	7,59	2612,6	27,68
2025-11-23T17:06:08.967481138Z	242,92	76,55	1,36	12,74	-0,77	3213,18	45,49
2025-11-23T17:07:20.803494632Z	246,41	76,24	-1,83	7,56	-2,82	2411,09	22,98
2025-11-23T17:08:01.373801716Z	219,38	75,89	0,53	7,02	-10,09	2148,55	16,01
2025-11-23T17:16:28.473236511Z	247,18	79,85	4,75	9,22	-16,47	1599,32	26,65
2025-11-23T17:17:14.138065427Z	243,24	74,66	0,36	11,42	4,7	3073,01	38,81
2025-11-23T17:17:47.767944174Z	240,81	71,89	-0,41	15,01	4,71	2557,11	40,85
2025-11-23T17:24:19.711801138Z	243,91	72,46	-1,52	12,02	-1,11	2521,79	32,83
2025-11-23T17:25:01.853588511Z	238,16	71,08	2,11	11,69	-1,55	2170,73	27,24
2025-11-23T17:25:35.504459258Z	250,63	77,11	-1,81	6,77	0,36	3364,12	31,54
2025-11-23T17:34:11.270670343Z	213,95	70,23	4,37	8,29	-5,19	3626,24	29,8
2025-11-23T17:34:52.430142921Z	239,88	74,63	2,77	10,49	-11,59	2698	28,44
2025-11-23T17:35:31.866187258Z	229,6	72,54	0,3	11,31	10,59	3515,85	38,12
2025-11-23T17:45:35.976188222Z	259,34	77,79	3,18	11,19	1,61	2012,09	31,56
2025-11-23T17:46:23.149521427Z	245,67	73,22	1,86	13,14	-3,7	2480,83	34,15
2025-11-23T17:47:33.775227837Z	250,71	77	1,03	11,32	-3,35	1933,64	30,72
2025-11-23T17:55:23.133966343Z	254,76	77,02	2,95	11,4	1,35	2917,14	35,69
2025-11-23T17:56:11.908530969Z	255,54	79,6	2,86	11,94	-4,83	2048,87	34,75
2025-11-23T18:04:16.310469090Z	246,82	76,85	1,89	9,33	-4,79	3294,29	32,89
2025-11-23T18:04:54.620174343Z	245,28	78,01	0,82	9,5	-11,35	3034,2	32,35
